"listeners_cum","artist_count","released_weekday","years_since_release","released_month","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","liveness_.","speechiness_.","streams"
57511894,1,"Samstag",12,"January",20333,52,89,143,1632,3,200,112,"C#","Minor",56,24,66,12,3,20.7067680009668
30422141,1,"Freitag",1e-04,"June",674,47,20,106,25,4,78,93,"G","Major",62,57,59,38,3,18.5902745369781
106608279,1,"Sonntag",11,"January",8448,23,160,110,163,1e-04,5,206,"G","Major",43,50,55,15,10,20.5986445556922
41040243.6666667,3,"Freitag",1,"December",2110,58,17,119,19,2,266,88,"G","Minor",68,17,71,11,5,19.4729005691679
58433542,1,"Freitag",1e-04,"April",2528,39,56,91,59,3,486,170,"D","Major",50,37,90,12,5,18.967795322079
62740669,1,"Donnerstag",19,"January",12985,61,49,98,2394,5,204,84,"E","Minor",62,24,67,13,28,20.9396337195747
23173906,1,"Freitag",1e-04,"July",77,35,8,166,4,4,34,134,"E","Minor",81,53,72,12,5,17.2020077527128
29614843,1,"Mittwoch",1,"April",266,27,6,40,6,6,202,158,"A#","Major",54,50,40,10,6,18.1633288395934
43843890,3,"Freitag",6,"November",21097,52,384,135,1034,37,312,116,"C#","Major",80,92,80,10,3,21.1965294628739
19779859,1,"Freitag",6,"April",3423,21,41,100,59,1,32,117,"C#","Major",61,45,69,9,3,20.8339084474466
57289368,1,"Donnerstag",2,"March",4198,44,98,108,327,17,153,114,"F","Minor",77,65,72,7,5,20.5466239999633
53769202,1,"Samstag",12,"January",14739,43,88,112,2163,5,519,108,"D","Minor",61,47,68,13,3,20.8748022688892
27728931.5,2,"Sonntag",11,"January",26792,32,69,113,695,1e-04,458,144,"E","Minor",74,37,53,21,10,20.8127458963971
6935746,1,"Freitag",1,"December",213,6,7,6,1e-04,1e-04,48,130,"F","Major",51,18,44,11,3,19.0065728041127
24627608.5,2,"Donnerstag",1e-04,"June",58,18,2,106,4,2,184,116,"B","Major",77,79,62,15,3,17.4805726419764
106608279,1,"Freitag",1e-04,"July",99,15,21,52,6,1,1e-04,121,"G","Major",65,49,78,17,4,17.4240505916398
20134953,1,"Sonntag",38,"February",41751,25,101,32,2655,1e-04,666,112,"G","Major",64,54,81,11,6,20.9105348133852
47628061,1,"Dienstag",9,"December",21164,36,80,65,476,1e-04,14,100,"A#","Minor",70,47,52,6,33,21.3060402782829
13142576,1,"Samstag",1e-04,"February",2988,59,74,102,145,18,925,150,"D#","Minor",55,30,78,12,8,19.1220979285652
11372552.5,2,"Mittwoch",1e-04,"February",893,38,19,23,24,3,88,120,"F","Minor",84,96,71,34,17,19.3292979535166
19252196.3333333,3,"Freitag",1e-04,"May",1094,34,40,58,47,8,203,127,"B","Minor",82,89,85,23,6,18.3246075561314
106608279,1,"Freitag",3,"July",7324,22,25,81,61,1,44,90,"F","Major",51,42,61,9,3,20.2242432425689
38516138,2,"Donnerstag",1e-04,"June",201,11,19,117,8,1,74,128,"A","Minor",75,79,63,15,4,17.8380430105223
48528798.5,2,"Freitag",1e-04,"March",5120,48,161,115,246,9,638,143,"A","Major",64,31,87,8,4,19.1676093449454
25902460,1,"Freitag",1,"July",2346,27,69,12,38,8,64,139,"G#","Major",74,68,68,26,4,19.6529434040001
49255217,1,"Freitag",2,"June",457,24,8,116,4,3,2,92,"Keine Angabe","Major",81,39,60,7,3,19.6156524314989
44158929,1,"Freitag",1,"August",3430,38,45,69,52,4,3,95,"F","Major",87,57,55,29,7,20.2155417667201
20462647.6666667,3,"Dienstag",12,"August",6074,52,201,44,6551,2,1e-04,146,"D","Major",63,88,93,10,8,21.3929057878969
55713835,1,"Sonntag",4,"November",21915,34,437,115,1212,12,2,95,"Keine Angabe","Major",55,56,82,34,5,21.5659445262273
58266627.5,2,"Freitag",6,"August",15032,30,221,96,1078,2,136,115,"E","Minor",35,12,30,10,3,21.5801122047509
42099833,2,"Mittwoch",1e-04,"June",871,32,25,59,32,5,88,128,"B","Major",78,59,65,26,5,18.0187469384494
10779734,1,"Montag",1e-04,"May",451,33,10,126,7,1e-04,148,130,"E","Minor",82,69,83,27,5,18.3827062123922
23173906,1,"Montag",1e-04,"January",1783,27,26,124,15,1,22,127,"A","Minor",80,74,77,11,4,19.881566328834
57511894,1,"Samstag",12,"January",9389,46,24,122,282,3,368,150,"D","Major",42,20,86,9,9,19.4673675173708
52127284,2,"Mittwoch",1e-04,"January",5724,44,119,108,254,29,22,122,"D","Minor",78,50,63,9,5,20.397501898502
47776446,1,"Freitag",16,"April",13985,25,30,80,588,1,1,140,"Keine Angabe","Major",52,20,85,7,5,20.9197538325574
29348703,4,"Freitag",1e-04,"June",1051,16,31,37,31,1e-04,189,140,"Keine Angabe","Major",63,22,54,12,8,18.5093885578455
46253961.3333333,3,"Freitag",1,"December",1682,46,24,90,30,1,176,119,"C#","Minor",75,48,53,18,34,19.4368500337738
14124025.8,5,"Montag",1e-04,"May",182,8,3,88,1,1e-04,52,110,"G","Minor",76,96,72,9,4,17.8086642697499
74886858,1,"Sonntag",6,"January",16596,13,7,1e-04,2094,1e-04,1e-04,95,"G#","Major",60,17,45,11,2,21.6630891230472
24696662,1,"Mittwoch",1,"July",2335,23,82,55,50,1e-04,9,132,"F#","Major",56,20,55,32,3,20.3399287767175
57289368,1,"Dienstag",6,"January",18986,23,250,121,2969,10,31,125,"A#","Minor",77,74,78,23,11,21.6764823941936
7784370,4,"Freitag",1e-04,"May",283,7,6,9,26,1,66,124,"D#","Minor",84,65,50,13,6,18.2112212992176
7451511.5,2,"Donnerstag",1e-04,"June",293,8,5,2,30,2,66,133,"B","Minor",93,68,65,12,25,16.2967974141974
62740669,1,"Dienstag",21,"January",21081,43,98,76,3889,5,1e-04,112,"G","Major",92,67,66,36,9,21.2466111771724
27289633,3,"Donnerstag",1e-04,"July",437,31,17,29,26,3,208,97,"Keine Angabe","Major",79,92,89,6,5,16.2664628960641
81096492,2,"Donnerstag",7,"November",1275,32,13,8,5,1e-04,1,90,"F","Minor",59,52,48,10,11,20.2317534266155
17340.5,2,"Freitag",1,"May",6135,38,71,113,99,13,28,80,"D#","Minor",65,27,69,53,4,20.848898682514
16895458,1,"Donnerstag",19,"January",20015,16,107,69,5239,1e-04,558,172,"A","Major",45,33,59,8,3,20.8088952122448
13040473,1,"Freitag",4,"May",1507,14,24,71,44,1,195,120,"E","Major",60,24,35,31,3,19.8359211322269
17148458,1,"Freitag",1e-04,"January",539,21,7,71,4,2,13,140,"G","Minor",74,96,80,5,5,19.3604238855368
20863170,1,"Freitag",1e-04,"June",86,8,7,76,3,1,93,128,"A","Minor",81,90,77,9,5,17.2772868819682
49255217,1,"Freitag",1e-04,"May",324,14,13,110,8,2,60,122,"Keine Angabe","Major",78,70,81,10,5,18.3699518586771
16121626,2,"Freitag",13,"January",17138,37,119,81,974,1,503,130,"Keine Angabe","Major",47,86,92,5,24,20.969684304101
11817574,2,"Donnerstag",1e-04,"February",894,9,14,88,66,3,72,160,"A","Major",69,61,71,31,20,19.2699835873029
63903238,1,"Mittwoch",11,"December",1622,9,1e-04,1e-04,356,1e-04,1e-04,144,"F","Major",73,87,70,28,5,21.1162196603165
13449997,3,"Dienstag",1e-04,"April",561,14,4,14,12,5,56,192,"B","Major",50,85,52,28,6,18.772008341283
71195330,2,"Freitag",1,"June",5871,27,81,121,58,1,34,163,"Keine Angabe","Major",54,40,67,9,17,20.2434308894772
45362598,1,"Dienstag",10,"January",29215,43,179,97,3394,11,153,122,"C#","Minor",66,48,71,12,4,21.4221287430807
73566642,1,"Freitag",2,"March",5866,24,107,38,95,1e-04,2,154,"D","Major",61,41,74,40,6,20.8779855579819
46485732,1,"Freitag",4,"October",3859,26,133,181,3,1e-04,2,117,"A","Minor",73,31,69,11,4,20.6506573036107
35059193.5,2,"Montag",1e-04,"January",961,26,19,143,10,6,15,138,"G","Minor",78,89,83,12,5,19.8932167556902
49371616,1,"Dienstag",19,"July",6457,18,98,95,453,1e-04,454,96,"Keine Angabe","Major",86,74,80,8,6,20.3042953600142
31678013,3,"Montag",7,"April",43257,24,433,107,3631,1e-04,26,104,"C#","Major",77,36,63,36,5,21.7216607870434
106608279,1,"Freitag",13,"January",4564,16,24,101,113,1e-04,40,164,"G#","Major",45,24,62,16,3,20.2479054683565
104681090,1,"Freitag",3,"March",12688,13,197,115,112,1e-04,200,118,"Keine Angabe","Major",68,61,82,50,3,21.187769232602
26799938,1,"Dienstag",13,"May",13801,19,137,125,435,6,285,81,"B","Minor",68,51,60,19,10,20.6729262676185
26815765,1,"Donnerstag",40,"January",22439,19,211,74,929,1e-04,129,117,"C#","Major",82,73,45,7,3,21.1890548076083
18831252,1,"Montag",8,"February",18515,35,70,82,939,1,162,174,"D","Major",45,10,37,64,4,21.0669185393521
68919742,2,"Samstag",12,"January",36843,21,321,91,4607,1,58,128,"C#","Major",73,60,77,11,4,20.9343412871783
63903238,1,"Mittwoch",11,"December",2420,11,1e-04,1e-04,806,1e-04,1e-04,145,"Keine Angabe","Major",60,43,27,14,4,21.2307984360534
17994853,1,"Freitag",5,"May",5897,19,1e-04,1e-04,885,1e-04,1e-04,150,"C#","Minor",65,51,55,14,3,21.04141492021
27493634.6666667,3,"Freitag",1e-04,"June",727,16,17,60,28,1,44,90,"A","Minor",60,13,53,21,4,18.3607870561885
