"listeners_cum_sqrt","artist_count","released_weekday","released_month","in_spotify_playlists_log","in_spotify_charts","in_apple_playlists_boxcox","in_apple_charts_boxcox","in_deezer_playlists_boxcox","in_deezer_charts","in_shazam_charts_log","bpm_sqrt","key","mode","danceability_._boxcox","valence_.","energy_.","acousticness_._boxcox","acousticness_.","liveness_._log","speechiness_._boxcox","streams"
7993.95008740985,"1","Mittwoch","December",7.79152281915073,11,-3.1230142185066,-3.1230142185066,9.52690908223309,1e-04,-9.21034037197618,12.0415945787923,"Keine Angabe","Major",309.172001029927,43,27,12.8883179177038,94,2.63905732961526,1.13415348204518,21.2307984360534
4242.03406398393,"1","Freitag","May",8.6821990260005,19,-3.1230142185066,-3.1230142185066,9.71034958616861,1e-04,-9.21034037197618,12.2474487139159,"C#","Minor",348.697835759604,51,55,11.4081431723022,73,2.63905732961526,0.935923022250452,21.04141492021
8653.71931599356,"1","Freitag","January",10.3791314952655,10,6.18219544910834,-3.1230142185066,14.1714083134246,7,-9.21034037197618,9.79795897113271,"C#","Minor",503.443991379318,93,65,10.1856056349385,58,2.19722457733622,1.54704422910618,21.9937407024653
5350.75966569234,"1","Samstag","August",9.97924416493538,30,10.3958325386871,8.48704614086558,7.47785627317439,1,3.66356164612965,12.6491106406735,"A","Major",263.878225553917,54,55,10.9390920852253,67,3.73766961828337,1.70980100924724,20.5080868218422
4612.9983741597,"1","Dienstag","July",6.19847871649231,36,1.71905522170133,1.30129723438636,3.42379650962105,1e-04,-9.21034037197618,9.74679434480896,"F#","Minor",512.581811168387,52,77,4.25480019260307,12,1.94591014905531,1.13415348204518,20.1082906048191
3952.61268024075,"1","Samstag","March",6.49223983502047,1e-04,5.09235808503701,2.64263320840332,2.70981615210141,1e-04,4.35670882668959,10.295630140987,"G","Major",415.141515605453,22,86,7.37380818787574,31,2.484906649788,1.13415348204518,17.7805622750719
1364.31008205613,"1","Freitag","April",3.52636052461616,1e-04,-3.1230142185066,-3.1230142185066,-6.01892829446503,1e-04,-9.21034037197618,9.59166304662544,"A#","Minor",398.171089263681,41,31,11.854591739384,79,2.30258509299405,1.2765537909333,18.0382042413412
2898.2691386412,"1","Montag","January",4.89783979995091,4,1.71905522170133,2.37256619803235,-6.01892829446503,1e-04,3.13549421592915,10.9544511501033,"D","Major",278.710418212454,20,43,12.555528708264,89,2.484906649788,1.13415348204518,18.9309265176378
5570.4346778326,"2","Samstag","November",4.45434729625351,1e-04,3.51045471219615,9.97657784895093,-6.01892829446503,1e-04,3.87120101090789,9.69535971483266,"A","Major",301.458399416165,44,56,11.9269990590721,80,1.79175946922805,0.935923022250452,18.7559812658124
5305.76212715949,"4","Freitag","September",8.72907355045174,7,10.7526345706633,9.43762673379509,8.89482175573949,21,2.30258509299405,8.77496438739212,"B","Minor",406.626839296785,59,76,6.41301228983002,24,3.73766961828337,2.10665318827289,20.9249660332906
4207.69735128372,"1","Freitag","July",7.75448154747038,2,-3.1230142185066,-3.1230142185066,3.79729661461215,1e-04,-9.21034037197618,10.4403065089106,"A#","Minor",512.581811168387,72,74,3.77971607877395,10,3.52636052461616,1.47403391565585,20.4001561842018
6952.77484174484,"2","Freitag","September",8.72046051272565,13,-3.1230142185066,-3.1230142185066,-6.01892829446503,1e-04,-9.21034037197618,10.2469507659596,"A","Major",293.809893426738,42,68,0,1,2.63905732961526,1.13415348204518,20.7833882263123
4202.57068153926,"6","Montag","December",4.86753445045558,4,4.97558582846753,9.03089089968386,0.717734625362931,1e-04,-9.21034037197618,10.770329614269,"G#","Minor",449.781505219462,65,80,2.61918127769805,6,2.70805020110221,1.13415348204518,18.7584879319865
3703.40667494133,"3","Montag","January",7.95472333449791,1e-04,6.67122975914856,7.11008077908888,3.90389170315909,1e-04,0,11.8321595661992,"C#","Minor",485.333333333333,6,84,2.2591348467897,5,1.79175946922805,1.38603106310711,18.1784794800741
5783.48435921922,"3","Sonntag","July",5.67675380226828,6,5.52538206968385,9.85672049777661,1.48698354997035,1e-04,-9.21034037197618,9.69535971483266,"Keine Angabe","Major",293.809893426738,44,57,10.0976619725832,57,2.30258509299405,0.935923022250452,19.7197808213562
994.341490635888,"1","Freitag","November",9.11844435727165,1e-04,10.7178971103063,7.93623142133968,7.08573184983809,1e-04,-9.21034037197618,11.2249721603218,"D#","Major",131.50157628316,35,76,8.32345339593029,39,2.07944154167984,1.2765537909333,19.3076133073367
2628.91137165177,"1","Mittwoch","January",9.06091185848425,1e-04,10.6829581039152,5.9139703822406,4.84568818021907,1e-04,0,12.328828005938,"G","Minor",381.438031027565,94,71,11.854591739384,79,1.94591014905531,1.54704422910618,19.3182001884365
1890.54950439586,"7","Freitag","November",7.93200315236138,1e-04,9.7342665053767,9.48099204425403,4.59974490623363,1e-04,0.693147180559945,14.3527000944073,"Keine Angabe","Minor",293.809893426738,83,45,7.98240678157369,36,2.39789527279837,1.54704422910618,19.8856013515766
10231.3777175901,"1","Freitag","August",7.86211221166275,1e-04,4.46520877893817,9.07763711090713,4.38726886549916,1e-04,-9.21034037197618,11,"A#","Minor",389.774679049235,35,77,0,1,3.25809653802148,1.13415348204518,18.6880769653242
